contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro
mt,2,,,https://camaraacorizal.mt.gov.br/,https://camaraacorizal.mt.gov.br/,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly9jYW1hcmFhY29yaXphbC5tdC5nb3YuYnIv"",""timestamp"":""2026-09-21T21:04:44.441Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/"
mt,1,,,https://www.acorizal.mt.gov.br/,https://www.acorizal.mt.gov.br/,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYWNvcml6YWwubXQuZ292LmJyLw%3D%3D"",""timestamp"":""2026-09-21T21:04:46.218Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_E"
mt,5,,,https://www.altafloresta.mt.leg.br/,https://www.altafloresta.mt.leg.br/,,Página Inicial — Câmara Municipal,6.5,42,210,82,15,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altafloresta.mt.leg.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altafloresta.mt.leg.br_005.pdf,
mt,6,,,https://altoaraguaia.mt.gov.br/,https://altoaraguaia.mt.gov.br/,,Prefeitura Municipal de Alto Araguaia,5.5,31,253,124,24,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_altoaraguaia.mt.gov.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_altoaraguaia.mt.gov.br_006.pdf,
mt,7,,,https://www.altoaraguaia.mt.leg.br/,https://www.altoaraguaia.mt.leg.br/,,Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA,6.9,40,358,191,19,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altoaraguaia.mt.leg.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altoaraguaia.mt.leg.br_007.pdf,
mt,3,,,https://www.consorcioaltotapajos.com.br/#/home,https://www.consorcioaltotapajos.com.br/#/home,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuY29uc29yY2lvYWx0b3RhcGFqb3MuY29tLmJyLyMvaG9tZQ%3D%3D"",""timestamp"":""2026-09-21T21:05:09.460Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/"
mt,8,,,https://www.altoboavista.mt.gov.br,https://www.altoboavista.mt.gov.br,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYWx0b2JvYXZpc3RhLm10Lmdvdi5icg%3D%3D"",""timestamp"":""2026-09-21T21:05:11.660Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sit"
mt,4,,,https://www.altafloresta.mt.gov.br/,https://www.altafloresta.mt.gov.br/,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuYWx0YWZsb3Jlc3RhLm10Lmdvdi5ici8%3D"",""timestamp"":""2026-09-21T21:05:15.503Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites"
mt,10,,,https://www.altogarcas.mt.leg.br/,https://www.altogarcas.mt.leg.br/,,Início - Câmara Municipal de Alto Garças - MT,7.1,38,840,102,41,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altogarcas.mt.leg.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/17-04-38/accessmonitor_www.altogarcas.mt.leg.br_010.pdf,
mt,12,,,https://www.camaradealtoparaguai.com.br/,https://www.camaradealtoparaguai.com.br/,,,,,,,,,,"API respondeu HTTP 500: {""statusCode"":500,""error"":""Internal Server Error"",""message"":""Internal server error"",""path"":""/amp/eval/aHR0cHM6Ly93d3cuY2FtYXJhZGVhbHRvcGFyYWd1YWkuY29tLmJyLw%3D%3D"",""timestamp"":""2026-09-21T21:05:33.655Z"",""stack"":""Error: Invalid resource: QualWeb returned an empty report.\n    at Object.evaluate (/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/acessamonitor/accessmonitor-docker/src/util/qualweb.ts:64:13)\n    at async executeUrlEvaluation (/home/jesus/faculdade/grupo-pesquisa/Egov/ana"
